Text,Annotate,LSTM_framing,GRU_framing,LR_framing,SVM_framing
"DOH logs 1,920 new COVID-19 cases, highest daily total in 6 months",2.0,11.0,11.0,2.0,5.0
" The Philippines on Sunday registered 1,920 new COVID-19 cases, the highest daily total in more than six months.",14.0,11.0,11.0,5.0,5.0
" According to GMA Integrated News Research, the new tally is the highest in 195 days—or six months and 13 days, since October 21’s 1,984 new cases.",11.0,11.0,11.0,9.0,5.0
" It is the fourth straight day of more than 1,000 new cases and the second straight day of more than 1,800 new cases.",9.0,11.0,11.0,2.0,5.0
" Data from the Department of Health's COVID-19 tracker shows that the country's total caseload is now at 4,102,788.",9.0,11.0,2.0,2.0,9.0
" Active cases increased by 1,213 to 11,408, the highest in three months and 18 days, since January 16’s 11,844 active cases.",9.0,11.0,11.0,8.0,5.0
" It is the second straight day of more than 10,000 active cases and the seventh day of increasing active cases.",9.0,11.0,11.0,5.0,5.0
" Independent monitoring group OCTA Research on Sunday also reported a nationwide positivity rate of 19.9%, up slightly from 19.3% a day earlier. The positivity rate refers to the percentage of people who were found positive for COVID-19 among the total number of individuals tested.",9.0,12.0,8.0,11.0,7.0
" Total recoveries increased by 707 to 4,024,927 for the fifth straight day of fewer new recoveries than new cases, while the death toll remains at 66,453.",9.0,11.0,11.0,9.0,5.0
" The region with the most new infections in the last 14 days is the National Capital Region (NCR) with 5,777; followed by Calabarzon with 2,962; Central Luzon with 889; Western Visayas with 716; and Bicol Region with 545.",9.0,9.0,11.0,11.0,13.0
" Among cities and provinces, Quezon City had the most new cases in the last 14 days with 1,259, followed by Cavite province with 965; Rizal province with 908; City of Manila with 671; and Laguna province with 656.",11.0,11.0,11.0,11.0,5.0
" COVID-19 bed occupancy in the country is currently at 19.7%, with 4,855 beds occupied and 19,777 vacant.",2.0,11.0,9.0,7.0,7.0
" A total of 6,561 individuals were tested for the virus on Saturday, with 291 testing laboratories submitting results.",9.0,9.0,9.0,12.0,12.0
" The World Health Organization on Friday lifted the designation of COVID-19 as a public health emergency of international concern, but cautioned that the virus is here to stay. The DOH also said that it will convene to review health guidelines after the WHO's announcement. ",9.0,9.0,9.0,9.0,9.0
"DOH logs 9 new COVID-19 deaths; 1,878 fresh cases in past week",9.0,7.0,7.0,11.0,5.0
" The Department of Health said Saturday that the country logged nine new COVID-19 deaths, as the World Health Organization proclaims an end to the global health emergency caused by coronavirus.",9.0,9.0,9.0,9.0,9.0
" A DOH weekly report published on May 6 shows nine new deaths; 735 new recoveries; 1,878 new cases; and 10,195 active cases in the country.",9.0,11.0,11.0,9.0,5.0
" Also, the report indicates that the total number of reported COVID-19 cases now stands at 4,100,868 and the total number of deaths at 66,453.",9.0,11.0,9.0,11.0,11.0
" On the other hand, the total number of those who recovered so far stands at 4,024,220, the report indicates.",9.0,11.0,11.0,15.0,14.0
" Meanwhile, independent OCTA Research group said Sunday that the nationwide COVID-19 positivity rate stood at 19.3% as of May 6.",9.0,12.0,12.0,12.0,13.0
" On May 5, OCTA warned that Metro Manila's positivity rate could surge up to 25%.",2.0,1.0,2.0,7.0,13.0
Bettor wins P55.3 million jackpot in Grand Lotto 6/55,1.0,1.0,1.0,1.0,1.0
" A bettor won the jackpot prize of P55,394,255.40 in the Grand Lotto 6/55 draw held on Saturday, the Philippine Charity Sweepstakes Office (PCSO) said.",1.0,1.0,1.0,5.0,5.0
" The winner got  of 04-16-26-24-14-47, it said.",5.0,7.0,1.0,7.0,7.0
" Eleven winners meanwhile got the P100,000 second prize, while 822 bettors chose the  for third prize of P1,500.",1.0,11.0,1.0,11.0,5.0
" A total of 16,369 bettors meanwhile got the fourth prize of P60.",1.0,11.0,11.0,11.0,7.0
" As for Lotto 6/42, there was no winner for the jackpot prize of P33,195,168.80, the PCSO said.",1.0,1.0,1.0,1.0,13.0
Filipinos watch as King Charles III of Britain is crowned,11.0,11.0,11.0,7.0,13.0
" Filipinos monitored the coronation of the United Kingdom’s King Charles III on Saturday in an event organized by the British Embassy Manila at Quezon Memorial Circle, Jamie Santos reported on “24 Oras Weekend.”",14.0,12.0,11.0,12.0,12.0
" The embassy hosted the “Coronation Picnic,” which featured a live screening of the coronation ceremony, games, and performances from bands such as Sandwich and The Male Gaze, as well as String Fusion.",11.0,11.0,11.0,11.0,11.0
 Several British food and drinks were also available in the area. ,11.0,1.0,11.0,9.0,7.0
 Charles III was crowned king in London on Saturday in a centuries-old ceremony featuring a display of pageantry and military processions.  ,11.0,11.0,11.0,11.0,7.0
"Marcos will not abolish NTF-ELCAC, says NSC",13.0,5.0,5.0,6.0,13.0
" President Ferdinand R. Marcos Jr. has no intention to abolish the National Task Force to End Communist Armed Conflict (NTF-ELCAC), the National Security Council said Saturday.",14.0,13.0,13.0,13.0,13.0
" In a press statement, NSC Assistant Director-General Jonathan Malaya said, ""Nowhere does it state in Executive Order No. 23 that the NTF ELCAC will be abolished or dismantled.""",8.0,13.0,5.0,5.0,5.0
" Malaya said two Executive issuances relate to different topics. He said EO 23 protects the freedom of association and the right to organize while EO 70, which created the NTF ELCAC, relates to the institutionalization of the whole-of-nation approach to attaining sustainable peace as well as the adoption of a national peace framework.",14.0,5.0,12.0,5.0,5.0
" ""As Chair of the NTF ELCAC, President Ferdinand R. Marcos, Jr. is  to the whole of nation approach to finally ending Communist terrorism in the country and he, in fact, has directed the Task Force to intensify its efforts since we have already attained strategic victory over the CPP-NPA-NDF,"" he said.",14.0,13.0,13.0,13.0,13.0
" Malaya added that 75% of all NPA guerilla fronts had been dismantled, while only 22 of the original 89 fronts still exist.",8.0,11.0,11.0,12.0,9.0
" Out of the 22 remaining guerilla fronts, he said 20 are already weakened due to the neutralization of their leaders and members, while the two others are now the subject of focused military operations and development initiatives by the NTF-ELCAC.",8.0,13.0,13.0,6.0,13.0
" ""The President's marching orders to the NTF ELCAC is clear: Sustain the whole-of-nation approach to peace and development to prevent Communist terrorists, their front organizations, and other lawless elements from recruiting, regrouping, and regaining power,"" he added.",8.0,8.0,8.0,8.0,13.0
House panel OKs measures on jabs vs. some diseases for elderly,13.0,13.0,13.0,13.0,13.0
 House Special Committee on Senior Citizens has approved two measures seeking to provide all senior citizens with free vaccination against various illnesses.,13.0,13.0,13.0,13.0,13.0
" House Bills No. 2097 and 4458, authored by Senior Citizens Party-list Rep. Rodolfo Ordanes, and Paranaque 2nd District Rep. Gus Tambunting, seek to provide the country’s senior citizens with free vaccination against diseases including influenza virus, tetanus, diphtheria, pertussis, pneumococcal disease, shingles, measles, and other vaccinations deemed necessary by the Department of Health.",6.0,6.0,6.0,13.0,13.0
" The bills will amend Section 4 of Republic Act (RA) No. 7432, as amended by the Expanded Senior Citizens Act (RA No. 9994) of 2010 once enacted into law.",6.0,6.0,6.0,6.0,6.0
" Ordanes and Tambunting cited data that senior citizens in the Philippines have the highest proportion of flu virus-related mortality, accounting for 67.1 percent of all risk groups, while pneumonia remains as the second leading cause of death among the elderly.",9.0,9.0,9.0,9.0,9.0
 Ordanes said providing all senior citizens free access to vaccines will prevent hospitalization and death among the elderly.,9.0,9.0,9.0,9.0,5.0
 RA 9994 currently provides free vaccination against the influenza virus and pneumococcal disease for indigent senior citizen patients.,9.0,9.0,9.0,5.0,9.0
OCTA after WHO declaration of end to COVID global health emergency: Continue advisories,9.0,9.0,9.0,9.0,9.0
