Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Dumagat-Remontados opposed to Kaliwa Dam urge NCIP to defend their rights,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
Bill on developing sustainable communities gets House final nod,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life
"Senate ratifies RCEP, eyes creation of oversight panel",14. External Regulation and Reputation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Senior citizen in Davao del Sur claims P35-M lotto jackpot,15. Other,15. Other,15. Other,15. Other
‘Amihan’ continues to bring rains over Luzon,15. Other,10. Quality of Life,15. Other,15. Other
PH-Israel: Enhancing 65 years of friendship through innovation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The country's crime rate has dropped by 19.49 percent from January to Feb. 25 this year  to the same period in 2022, amid the spate of attacks against local officials this month.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – President Ferdinand R. Marcos Jr. has signed a memorandum circular directing all government agencies and encouraging local government units to support the 2023 National Crime Prevention Program (NCPP).,13. Political,8. Security and Defense,8. Security and Defense,8. Security and Defense
MANILA – The Philippines' Enhanced Defense Cooperation Agreement (EDCA) with the United States is aimed at improving the country's defensive capabilities and is not meant for war.,14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense,8. Security and Defense
"MANILA— The Philippines has deposited its instrument of ratification of the Regional Comprehensive Economic Partnership (RCEP) to the Association of Southeast Asian Nations (ASEAN) in Indonesia, the Department of Foreign Affairs (DFA) announced Friday.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – Department of National Defense (DND) chief Carlito Galvez Jr. on Monday reminded all Filipinos, especially the youth, to take time in honoring the nation's veterans.",11. Cultural Identity,3. Morality,11. Cultural Identity,11. Cultural Identity
DOTr in talks with PUV operators to avert transport strike,12. Public Opinion,4. Fairness and Equality,2. Capacity and Resources,False
"MANILA – House of Representatives Deputy Speaker Ralph Recto on Tuesday called on President Ferdinand R. Marcos Jr. to consider upgrading the ""Roadmap to Address the Impact of El Niño"" (RAIN) as a measure to prevent the weather phenomenon from seriously harming the country’s food, electricity, and water supply.",10. Quality of Life,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"MANILA – Generally warm weather with isolated rain showers will prevail over most parts of the country, the weather bureau said Tuesday.",15. Other,15. Other,15. Other,15. Other
"Comelec resets candidacy filing period for village, youth polls",13. Political,13. Political,13. Political,13. Political
Bill seeks compensation for erroneous traffic violation charges,13. Political,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",False
"Weeklong PDEG ops net P10.4-M shabu, marijuana",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
UK trade envoy renews support to PH's shift to renewable energy,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The three additional Lockheed C-130 ""Hercules"" cargo aircraft that the United States will transfer to the country will greatly boost the Philippine Air Force (PAF)'s airlift and humanitarian assistance and disaster relief (HADR) capabilities.",8. Security and Defense,2. Capacity and Resources,14. External Regulation and Reputation,False
"MANILA – The Philippine National Police (PNP) on Mnonday released  sketch of one of the suspects in the fatal shooting of San Miguel, Bulacan police chief Lt. Col. Marlon Serna.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
House donates additional P10-M to Türkiye quake victims,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – The proposal calling for a constitutional convention (con-con) to amend the 1987 Constitution inched closer to final approval after the House of Representatives passed the resolution on second reading Tuesday.,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
MANILA – An official of the Catholic Bishops’ Conference of the Philippines (CBCP) said the student who made the consecrated host a subject of his food review may face,3. Morality,3. Morality,3. Morality,3. Morality
MANILA – Former and present officials of the Philippine Drug Enforcement Agency (PDEA) and the Philippine National Police (PNP) refuted in a Senate hearing on Wednesday the alleged practice of paying 30 percent of confiscated illegal drugs as a reward to assets and informants.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – Authorities nabbed the claimant of a package containing PHP1.743 million worth of shabu in a recent controlled delivery operation in Pasay City.,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Labor groups seek P1,140 minimum wage in NCR",4. Fairness and Equality,4. Fairness and Equality,1. Economic,4. Fairness and Equality
DILG chief: Heads will roll over P6.7-B 'shabu' haul,15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PBBM admin addresses power crisis in Occidental Mindoro,15. Other,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
MANILA – President Ferdinand R. Marcos Jr. said Wednesday thousands of fishers in oil spill-affected areas could participate in the government's cash-for-work program.,2. Capacity and Resources,6. Policy Prescription and Evaluation,10. Quality of Life,False
Quiapo Church to hold motorcade on Good Friday,15. Other,15. Other,3. Morality,15. Other
MANILA – The country’s first case of XBB.1.16 Omicron subvariant called Arcturus in Iloilo province was asymptomatic and has been tagged as recovered.,15. Other,9. Health and Safety,9. Health and Safety,9. Health and Safety
"GSIS assures balanced selection of local, global investments",1. Economic,1. Economic,1. Economic,1. Economic
"MANILA – A total of 890 residents  of Barangay Matabao, Buenavista, Agusan del Norte, where 465 are agrarian  (ARBs), would benefit from the 28.8-lineal Buenavista-Matabao universal bridge worth PHP20 million.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
MANILA – The Philippine National Police (PNP) and the Makati Medical Center Foundation (MMCF) signed a memorandum of agreement to strengthen the organizational capacity of police hospitals and medical treatment facilities.,2. Capacity and Resources,14. External Regulation and Reputation,9. Health and Safety,False
"5 more NPA rebels neutralized, 46 firearms seized - AFP",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
PAF trainer aircraft makes emergency landing in Batangas,15. Other,15. Other,15. Other,15. Other
Gumaca bishop Victor Ocampo dies at 71,15. Other,15. Other,3. Morality,15. Other
"MANILA – Local government units (LGUs) have until March 31 to submit their proposed climate change adaptation projects and programs to the People’s Survival Fund (PSF) Board, the Climate Change Commission (CCC) announced Wednesday.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
"MANILA – Marikina Representative Stella Quimbo on Tuesday called for the immediate distribution of cash aid, as she warned that the soaring inflation rates could plunge over 2 million more Filipinos into poverty.",2. Capacity and Resources,10. Quality of Life,1. Economic,False
Solon: Empowerment should be part of women’s rights,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
MANILA – Senator Sherwin Gatchalian on Wednesday said the quality of the country’s maritime education must be improved amid the decision of the European Union (EU) to continue recognizing the certificates of Filipino seafarers.,10. Quality of Life,6. Policy Prescription and Evaluation,8. Security and Defense,False
MANILA – The House of Representatives on Wednesday approved on third and final reading a bill requiring Bureau of Fire Protection (BFP) personnel to be certified medical first responders and emergency medical technicians (EMTs).,10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – Warm and humid weather will prevail across the country, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said Tuesday.",15. Other,15. Other,15. Other,15. Other
Romualdez bats for PH-US-India digital partnership,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – Apart from understanding the Japanese culture better, learning Nihongo could give Filipino youth the “competitive edge“ when applying for scholarships and jobs in Japan, Ambassador Kazuhiko Koshikawa said Saturday.",14. External Regulation and Reputation,10. Quality of Life,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The Alliance of Concerned Teachers-National Capital Region (ACT-NCR) Union on Tuesday requested to increase the educators’ Personnel Economic Relief Allowance (PERA) from the current PHP2,000 to PHP5,000 amid inflation pressures.",10. Quality of Life,6. Policy Prescription and Evaluation,1. Economic,False
FPRDI enhances bamboo use in construction,15. Other,15. Other,2. Capacity and Resources,15. Other
MANILA – The United Kingdom and the Philippines are looking at an upgraded bilateral cooperation as London sought to strengthen maritime engagement with Manila in the Indo-Pacific region.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
No Lenten leave for BI personnel in airports,15. Other,15. Other,3. Morality,15. Other
Sustainable procurement key to 'genuine prosperity': DBM,15. Other,1. Economic,2. Capacity and Resources,False
"MANILA – Newly installed Philippine National Police (PNP) chief Gen. Benjamin Acorda Jr. on  that the PNP will be vanguards of peace to ensure a safe and economically  and to be steadfast in providing police service under his leadership,",15. Other,13. Political,8. Security and Defense,False
MANILA – The Commission on Elections (Comelec) has adjusted other scheduled activities for the Oct. 30 Barangay and Sangguniang Kabataan Elections (BSKE).,13. Political,13. Political,13. Political,13. Political
Solon wants veterinary practice duly regulated,15. Other,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
OCTA: Nationwide Covid-19 positivity rate hikes to 8.5%,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
MANILA – The Department of Health (DOH) is not considering the reimplementation of the face mask mandate despite the increase in coronavirus disease 2019 (Covid-19) cases.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA – President Ferdinand Marcos Jr. and First Lady Louise ""Liza"" Araneta-Marcos have accepted the invitation to attend the coronation of His Majesty King Charles III and Her Majesty The Queen Consort on May 6, Malacañang announced on Monday.",14. External Regulation and Reputation,15. Other,14. External Regulation and Reputation,14. External Regulation and Reputation
