Statement,Link,Date, Source, Label
“Anheuser-Busch closing half its U.S. breweries” after Dylan Mulvaney backlash.,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/anheuser-busch-isnt-closing-half-its-breweries-tho/,• May 1^ 2023,Facebook posts,pants-fire
There is “$500 billion of unspent COVID money” that can be rescinded.,https://www.politifact.com/factchecks/2023/may/01/nikki-haley/is-nikki-haley-right-that-500-billion-in-covid-19/,• May 1^ 2023,Nikki Haley,half-true
“Joe Biden was older on his first day as president than Ronald Reagan was on his last day.”,https://www.politifact.com/factchecks/2023/may/01/jonathan-martin/was-biden-older-on-his-first-day-as-president-than/,• May 1^ 2023,Jonathan Martin,true
“El nuevo WhatsApp de 2023” permite “ver con quién están hablando tus contactos en vivo”.,https://www.politifact.com/factchecks/2023/may/01/facebook-posts/no-es-cierto-que-un-nuevo-whatsapp-permite-espiar/,• May 1^ 2023,Facebook posts,false
New York Gov. Kathy Hochul wants “quarantine camps” and “imprisonment” if you’re suspected of having a disease.,https://www.politifact.com/factchecks/2023/apr/29/facebook-posts/quarantine-camps-takes-ny-public-health-rule-too-f/,pril 29^ 2023,Facebook posts,pants-fire
The ocean is "flat" and "contained" by land features that jut up from a flat (not spherical) earth.,https://www.politifact.com/factchecks/2023/apr/28/facebook-posts/antarctica-doesnt-contain-the-planets-oceans-and-e/,pril 28^ 2023,Facebook posts,false
"Healthy pilots are suffering from myocarditis and dropping dead on flights” because of the COVID-19 vaccines.,https://www.politifact.com/factchecks/2023/apr/28/instagram-posts/no-evidence-of-pilots-dying-on-flights-from-covid/,pril 28^ 2023,Instagram posts,false
“Face masks may raise risk of stillbirths^ testicular dysfunction and cognitive decline^ study warns.”,https://www.politifact.com/factchecks/2023/apr/28/instagram-posts/study-does-not-show-that-covid-19-mask-wearing-rai/,pril 28^ 2023,Instagram posts,barely-true
“When fentanyl burns it smells like popcorn.”,https://www.politifact.com/factchecks/2023/apr/28/facebook-posts/following-your-nose-wont-find-fentanyl-experts-say/,pril 28^ 2023,Facebook posts,false
Chick-fil-A “donates another $1.8 million to anti-LGBTQ groups^” backtracking on its promise not to.,https://www.politifact.com/factchecks/2023/apr/28/instagram-posts/documents-show-chick-fil-a-did-not-backtrack-on-do/,pril 28^ 2023,Instagram posts,false
"Oil pulling” improves overall oral health^ strengthens gums^ helps prevent cavities^ whitens teeth and reduces plaque.,https://www.politifact.com/factchecks/2023/apr/28/facebook-posts/no-hard-evidence-oil-pulling-improves-oral-health/,pril 28^ 2023,Facebook posts,barely-true
Chemtrails are being put into the atmosphere and are trickling down into soil and water^ becoming “the real cause of disease.”,https://www.politifact.com/factchecks/2023/apr/27/facebook-posts/chemtrails-are-not-causing-diseases-theyre-not-rea/,pril 27^ 2023,Facebook posts,pants-fire
"There is no Biden presidency. The real Biden was executed for his crimes long ago along with Clinton.",https://www.politifact.com/factchecks/2023/apr/27/facebook-posts/those-are-no-actors-theyre-president-joe-biden-and/,pril 27^ 2023,Facebook posts,pants-fire
Video shows someone impersonating Joe Biden in a mask.,https://www.politifact.com/factchecks/2023/apr/27/instagram-posts/no-biden-is-not-a-masked-clone/,pril 27^ 2023,Instagram posts,pants-fire
Este video enseña “las primera palabras” de Gustavo Petro junto a Joe Biden.,https://www.politifact.com/factchecks/2023/apr/27/facebook-posts/un-video-fue-editado-para-ensenar-al-presidente-co/,pril 27^ 2023,Facebook posts,false
“El CEO de Pfizer es un lagarto (demonio)”.,https://www.politifact.com/factchecks/2023/apr/27/instagram-posts/no-el-ceo-de-pfizer-no-es-un-lagarto/,pril 27^ 2023,Instagram posts,pants-fire
Israel is banning Christianity.,https://www.politifact.com/factchecks/2023/apr/27/facebook-posts/is-israel-banning-christianity-no-prime-minister-b/,pril 27^ 2023,Facebook posts,false
“1^900 food production companies have been destroyed” as part of conspiracy.,https://www.politifact.com/factchecks/2023/apr/26/instagram-posts/fires-and-accidents-at-food-plants-are-common-not/,pril 26^ 2023,Instagram posts,false
BlackRock owns 59 million shares of Dominion Voting Systems and 45.7 million shares of Fox News. BlackRock sued itself and fired Tucker Carlson as part of the lawsuit.,https://www.politifact.com/factchecks/2023/apr/26/facebook-posts/blackrock-fox-and-tucker-carlson-untangling-a-web/,pril 26^ 2023,Facebook posts,barely-true
