Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Dumagat-Remontados opposed to Kaliwa Dam urge NCIP to defend their rights,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
"The number of Filipinos against changing the Constitution reached 45% which is more than those in favor of it at 41%, a Pulse Asia poll showed.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Jinggoy Estrada calls ICC probers 'white monkeys'; tells them to back off,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"President Ferdinand “Bongbong” Marcos Jr. has approved the sale of seized smuggled sugar at P70 per kilo at Kadiwa centers, according to the Presidential Communications Office (PCO) on Tuesday.",13. Political,13. Political,1. Economic,13. Political
"The Department of Health (DOH) on Thursday monitored an increase in COVID-19 cases in the country with 150 new infections, bringing the active tally to 9,269.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Gatchalian wants corruption issues fixed before pushing for estate tax amnesty extension,6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"Philippine government officials will have visa exemptions when entering Japan, Prime Minister Fumio Kishida has said.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Sunken tanker was carrying 900K liters of industrial fuel oil, not 800K —PCG",2. Capacity and Resources,2. Capacity and Resources,15. Other,2. Capacity and Resources
Less than half of Philippine SIMs registered before Apr 26 deadline,2. Capacity and Resources,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Manalo, Galvez to lead PH delegation in dialogue with US",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"PH, China start two-day bilateral talks amid maritime tensions",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Candaba Viaduct temporarily closed to motorists as LPG tanker catches fire,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The camp of suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. on Tuesday said they are ready to face possible cases against the lawmaker in relation to the assassination of Negros Oriental Governor Roel Degamo.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DBM releases P43B for senior citizens’ health insurance coverage,10. Quality of Life,9. Health and Safety,1. Economic,False
"President Ferdinand ""Bongbong"" Marcos Jr. has named Carlos Primo Constantino David as undersecretary of the Department of Environment and Natural Resources (DENR).",2. Capacity and Resources,13. Political,13. Political,13. Political
"A bill filed in the Senate seeks to deem an incumbent elected official resigned upon filing his or her certificate of candidacy (COC) for another elective post, including president and vice president.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"A large majority of adult Filipinos approve of the executive order allowing voluntary wearing of face masks, but most of them prefer to continue wearing masks, according to the results of the Fourth Quarter 2022 Social Weather Stations (SWS) survey.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"The number of COVID-19 vaccine wastage in the Philippines will reach 50 million by the end of March, Department of Health officer-in-charge Maria Rosario Vergeire confirmed Thursday.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
SC asked to declare SIM Registration Act unconstitutional,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Distribute smuggled sugar for free - Hontiveros,6. Policy Prescription and Evaluation,2. Capacity and Resources,13. Political,False
USAID to give $8 million to support global health security in PH,2. Capacity and Resources,14. External Regulation and Reputation,1. Economic,False
"A total of 1,984 fire incidents have been recorded so far in the country since January, the Bureau of Fire Protection (BFP) said on Thursday.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Pamplona Mayor Janice Degamo, the wife of slain Negros Oriental Governor Roel Degamo, on Friday claimed that up to 30 people had been killed by the camp of recently-suspended Congressman Arnolfo “Arnie” Teves Jr.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PNP aims for 3-minute response time to crime in crowded areas,8. Security and Defense,6. Policy Prescription and Evaluation,8. Security and Defense,8. Security and Defense
Hontiveros stresses need for women leaders in gov’t to ensure ‘true’ gender equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
The Bangko Sentral ng Pilipinas (BSP) said Thursday it did not release a banknote new design or denomination.,13. Political,15. Other,15. Other,15. Other
"The maternal mortality ratio in the Philippines has been declining over the years, according to the Department of Health (DOH) on Friday.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Solon seeks Guanzon's return as P3WD party-list representative,13. Political,13. Political,13. Political,13. Political
Priest’s Santo Entierro image has cops suspecting body wrapped in plastic,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The House Committee on Natural Resources this week approved a bill mandating mining operations in the country to  Kabataan party-list Representative Raoul Manuel said on Friday.,6. Policy Prescription and Evaluation,2. Capacity and Resources,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Portions of Malacanang get new look with renovations,2. Capacity and Resources,15. Other,15. Other,15. Other
Bill condoning farmers' loans under CARP gets Senate's final nod,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"The International Criminal Court (ICC) Appeals Chamber’s rejection of the Philippine government’s appeal to suspend the probe on the Duterte administration’s drug war is an indictment of the country’s judicial system, Solicitor General Menardo Guevarra said Tuesday.",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Marcos to meet with British PM on the sidelines of King Charles III coronation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Speaker Martin Romualdez of Leyte on Wednesday justified the ongoing  deliberations on measures seeking to amend the 1987 Constitution, saying the proposed amendments aim to attract foreign financing for job generation, among others.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation
"Marcoses' bid to retake surrendered, forfeited assets denied by Sandiganbayan",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Brian Yamsuan takes oath as Bicol Saro party-list rep,13. Political,13. Political,13. Political,13. Political
"DOH, OSG should’ve been on COVID-19 vax negotiating team —Tolentino",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Political scientist Aries Arugay tackles PH foreign policy, Ukraine-Russia conflict",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Stricter regulation of alcohol sale, task force sought to address teen pregnancies",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
DFA urged to broker security accords with other countries amid China aggression,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Senator Ronald “Bato” Dela Rosa on Saturday urged suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. to give his testimony to any Philippine embassy or consulate in connection with the Senate’s investigation into the killing of Negros Oriental Governor Roel Degamo.   On April 17, the Senate public order and dangerous  barred Teves from attending the probe into Degamo’s death virtually, citing a lack of jurisdiction and inter-parliamentary courtesy.","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Transport group PISTON on Monday called on President Ferdinand “Bongbong” Marcos Jr. to suspend the implementation of the guidelines for the Public Utility Vehicle Modernization Program (PUVMP).,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Marcos meets with US Defense chief Austin,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Marcos OKs creation of Water Resource Management Office,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Lawyers group slams conviction of cashier over terror financing sans trial,12. Public Opinion,5. Constitutionality and Jurisprudence,4. Fairness and Equality,False
The Supreme Court said Wednesday it has issued a writ of kalikasan against several government agencies and organizations to stop the release of genetically modified rice and eggplant products.,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
AFP ready to defend PH with ‘full force’ in next 3-5 years with US help —envoy,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"Police chief in BARMM arrested for syndicated estafa, relieved from post","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"NTC orders regional offices to aid NDRRMC, LGUs during Holy Week",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"A total of 43,776 outbound passengers and 33,302 inbound passengers, or a total of 77,078 passengers, were monitored in all ports of the country from morning to noon on Good Friday, the Philippine Coast Guard (PCG) said.",10. Quality of Life,10. Quality of Life,9. Health and Safety,10. Quality of Life
Remains of Filipino quake victim back home from Turkey,9. Health and Safety,15. Other,15. Other,15. Other
"PNP to ICC: Respect Philippines' sovereignty, justice system",13. Political,5. Constitutionality and Jurisprudence,14. External Regulation and Reputation,False
BI offloaded over 6k passengers from January-February 2023,10. Quality of Life,10. Quality of Life,2. Capacity and Resources,10. Quality of Life
"DOH launches children vaccination drive vs. measles, rubella, polio",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Senator Robin Padilla on Friday released a draft copy of the Senate Committee on Constitutional Amendments and Revision of Codes' report on the measure seeking to reform the economic provisions of the 1987 Constitution via constituent assembly (con-ass).,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation
"Philippines, Japan say use of nuclear weapons ‘unacceptable’",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Recognizing the suffering of Filipino women during World War II, the government vowed to look into a United Nations (UN) panel report saying the Philippines has failed to meet its obligations to the ""comfort women.""",4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
Senate Minority Leader Aquilino “Koko” Pimentel III on Friday insisted that someone must be held accountable for the Philippines airspace shutdown last January 1.,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"DOH posts 217 new COVID-19 cases as active infections climb to 9,680",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Manila International Airport Authority (MIAA) did not monitor passenger congestion at the terminals of the Ninoy Aquino International Airport (NAIA) on Wednesday despite the anticipated exodus of travelers for Holy Week.,10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
