Text,Policy Frame 1,Policy Frame 2,Policy Frame 3,Policy Frame 4,Policy Frame 5,Policy Frame 6,Policy Frame 7,Policy Frame 8,Policy Frame 9,Policy Frame 10,Policy Frame 11,Policy Frame 12,Policy Frame 13,Policy Frame 14,Policy Frame 15,Media_Outlet
"DOH logs 1,920 new COVID-19 cases, highest daily total in 6 months",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Philippines on Sunday registered 1,920 new COVID-19 cases, the highest daily total in more than six months.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"DOH logs 9 new COVID-19 deaths; 1,878 fresh cases in past week",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The Department of Health said Saturday that the country logged nine new COVID-19 deaths, as the World Health Organization proclaims an end to the global health emergency caused by coronavirus.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Bettor wins P55.3 million jackpot in Grand Lotto 6/55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"A bettor won the jackpot prize of P55,394,255.40 in the Grand Lotto 6/55 draw held on Saturday, the Philippine Charity Sweepstakes Office (PCSO) said.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Filipinos watch as King Charles III of Britain is crowned,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"Filipinos monitored the coronation of the United Kingdom’s King Charles III on Saturday in an event organized by the British Embassy Manila at Quezon Memorial Circle, Jamie Santos reported on “24 Oras Weekend.”",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"Marcos will not abolish NTF-ELCAC, says NSC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"President Ferdinand R. Marcos Jr. has no intention to abolish the National Task Force to End Communist Armed Conflict (NTF-ELCAC), the National Security Council said Saturday.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
House panel OKs measures on jabs vs. some diseases for elderly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
House Special Committee on Senior Citizens has approved two measures seeking to provide all senior citizens with free vaccination against various illnesses.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
OCTA after WHO declaration of end to COVID global health emergency: Continue advisories,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Independent monitoring group OCTA Research on Saturday said public advisories should still be issued even after the World Health Organization (WHO) declared that COVID-19 no longer represents a global health emergency.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Marcos welcomed by King Charles III's representatives in UK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"President Ferdinand ""Bongbong"" Marcos Jr. and his entourage has arrived in the United Kingdom to attend the coronation of King Charles III.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
DOH to convene COVID-19 task force in reaction to WHO declaration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
The Department of Health (DOH) will review health guidelines after the World Health Organization declared that COVID-19 is no longer a global health emergency.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"PH logs 1,563 new COVID-19 cases; active infections at 9,159",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The Philippines on Friday recorded 1,563 new COVID-19 cases, pushing the country’s active infections to 9,159.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Raffy Tulfo seeks probe on ‘anti-poor’ process of obtaining a driver's license,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Senator Raffy Tulfo is seeking a Senate investigation into what he called an “anti-poor” process of getting a driver’s license in the Philippines.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"MIF, 10 other bills added to LEDAC —Speaker Romualdez",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"House of Representatives Speaker Ferdinand Martin Romualdez over the weekend revealed 11 additional bills as part of the Legislative-Executive Development Advisory Council (LEDAC), including the controversial Maharlika Investment Fund (MIF).",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Palace announces new appointments to government positions,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Malacañang on Saturday announced the new appointees to government positions.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
76% of Filipinos believe PH headed in right direction under Marcos admin — OCTA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"Around eight in 10 Filipinos believed the country was moving in the right direction under the administration of President Ferdinand “Bongbong” Marcos Jr., according to OCTA Research’s first quarter survey released on Saturday.   Conducted from March 24 to 28, the  poll found that 76% of 1,200 adult Filipinos believed that the country was headed in the right direction based on the policies and programs articulated and implemented by the current administration.   Ten percent of the respondents believed otherwise, and 13% were undecided.   “While 8 out of 10 adult Filipinos (76%) think that the country is headed in the right direction, this result represents a notable decline of 9 percentage points  to the TNM (Tugon ng Masa) Q4 October 2022 survey conducted last quarter, where 85% said that the country was headed in the right direction,” OCTA said in its report.   “The decline in the overall percentage of adult Filipinos who think that the country is headed in the right direction from last quarter was due to the consistent decreases across major areas and socioeconomic classes,” it added.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"National ID must be reliable, trustworthy –Pimentel",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"Senate Minority Leader Aquilino ""Koko"" Pimentel III on Saturday called on the agencies involved in the issuance of the national identification card to keep the IDs ""reliable and trustworthy.""",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Sandiganbayan affirms ruling, denies Marcos family bid to retake seized properties",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
The Sandiganbayan on Friday denied the Motion for Reconsideration filed by former First Lady Imelda Marcos and her daughter Irene Marcos-Araneta and affirmed its January 2023 Resolution which denied the Marcoses bid to take back the wealth and properties seized from them by the government.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Marcoses meet King Charles at Buckingham Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"President Ferdinand Marcos Jr. and First Lady Liza Araneta-Marcos were among the guests from overseas who attended the reception at Buckingham Palace in London on Friday, a day before the coronation of King Charles III.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"Scheduled airspace shutdown on May 17 reduced to 2 hours, says CAAP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"The scheduled airspace shutdown on May 17 at the Ninoy Aquino International Airport (NAIA) will be reduced to two hours, the Civil Aviation Authority of the Philippines (CAAP) said.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
PNP aims for 3-minute response time to crime in crowded areas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"The Philippine National Police (PNP) aimed to allot at least three minutes to respond to crime in crowded areas in the country, according to Jun Veneracion’s “24 Oras” report on Friday.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
Senior high school grads land in jobs with minimum wage –manpower agency,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Graduates of senior high school program land in jobs with minimum wage, according to a ""24 Oras"" report by Maki Pulido on Friday.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Senate bill wants 1:1 student-textbook ratio achieved via digitization,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
A bill seeking to create an online library which will serve as a repository of digitized copies of all textbooks and reference books of all elementary and secondary students has been filed in the Senate.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
ACT Teachers: Workers' freedom of association under threat due to NTF-ELCAC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
House Deputy Minority Leader and ACT Teachers party-list Representative France Castro on Friday said workers remained under threat despite President Ferdinand Marcos Jr.’s Executive Order (EO) 23 which created the Inter-Agency Committee for the Protection of the Freedom of Association and Right to Organize of Workers.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Malacañang, DOE asked: Where’s the promise of stable power supply in 2023?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Senate Deputy Minority Leader Risa Hontiveros on Friday urged Malacañang and top officials of the Department of Energy (DOE) to address a “nationwide power crisis” which appears to be looming despite previous assurances of steady power supply in the country.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Over 4,000 motorcycle road crashes recorded from January to April, PNP-HPG says",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Proposed automated election system for 2025 allows quick verification of ballots, ERs — Garcia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"The Commission on Elections’ proposed automated election system (AES) for the 2025 polls will adopt mechanisms that will improve the transparency of the voting process in the country, Comelec Chairman George Garcia said Friday.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"Teves, sons file motion to dismiss illegal possession of firearms raps",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
