Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Dumagat-Remontados opposed to Kaliwa Dam urge NCIP to defend their rights,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
Ressa’s acquittal impacts investment climate positively – Mindanao lawyers,6. Policy Prescription and Evaluation,1. Economic,2. Capacity and Resources,False
FULL TEXT: Vice president-elect Sara Duterte inaugural speech,13. Political,13. Political,13. Political,13. Political
"Highlights of WHO chief’s visit to Manila, a summary",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – Due to the scheduled nationwide transport strike organized by various transportation groups, from March 6 to 12, a number of schools in the country have decided to hold classes virtually next week.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA, Philippines – The Senate and the House of Representatives finished reconciling differences in versions of the proposed 2023 budget that they separately approved.",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Maundy Thursday traffic hampers motorists on NLEX,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Defense department signs $624-M contract to buy Black Hawk choppers,8. Security and Defense,8. Security and Defense,1. Economic,8. Security and Defense
"MANILA, Philippines – Thirty-six years ago, in February 1986, tens of thousands of Filipinos from various sectors united and rallied for days along the stretch of Epifanio de los Santos Avenue (EDSA) to oust the corrupt and tyrannical dictator, Ferdinand E. Marcos.",10. Quality of Life,13. Political,11. Cultural Identity,False
The PNP under the leadership of Police General Rodolfo Azurin Jr.,13. Political,8. Security and Defense,"7. Law and Order, Crime and Justice",False
"NEGROS ORIENTAL, Philippines – Ending violence on Negros Island, a hotbed of insurgency and political violence, has been a long-running struggle.","7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense,8. Security and Defense
"MANILA, Philippines – President Ferdinand Marcos Jr. on Wednesday, October 5, said the Philippines may need to turn to Russia to fulfill its fuel needs amid rising global energy prices, bucking pressure from Western allies for countries to shun Moscow.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"ICC: Victims, families can participate in drug war proceedings","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"After Japan trip, Marcos Cabinet to review, sort priority of foreign pledges",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – President Ferdinand Marcos Jr. visits Northern Luzon on Thursday, July 28, after a magnitude 7 earthquake jolted Abra and surrounding provinces.",9. Health and Safety,9. Health and Safety,13. Political,9. Health and Safety
"MANILA, Philippines – Philippine leader Ferdinand Marcos Jr. on Tuesday, September 13, defended his late father’s imposition of martial law when in power, saying it was necessary because he was simultaneously  and separatist rebellions at that time.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Philippine Foreign Secretary Teodoro Locsin Jr. will represent President Rodrigo Duterte at an  summit in May to be hosted by the United States with leaders of the Association of Southeast Asian Nations (ASEAN).",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Philippines grants emergency use of Sinovac vaccine for kids 6 and up,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – Nearly two dozen bills cleared the House of Representatives on December 12, the last Monday of 2022 that the 19th Congress was in session, including measures that were specifically mentioned by President Ferdinand Marcos Jr. during his first State of the Nation Address in July.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Philippines, US to cooperate on nuclear energy",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – The controversial procurement by the Department of Education (DepEd) of  P2.4 billion worth of “outdated” laptops  through the Procurement Service of the Department of Budget and Management (PS-DBM) was indeed messy as it seemed.",1. Economic,1. Economic,1. Economic,1. Economic
"MANILA, Philippines – Covering the transition to a new administration is a task equal parts fun and daunting.",13. Political,13. Political,13. Political,13. Political
"TOKYO, Japan – President Ferdinand Marcos Jr. said on Wednesday, February 8, that the Philippines and Japan have yet to start formal talks on a reciprocal access agreement that would strengthen ties between their military forces. He added though that he wanted to see increased cooperation with the neighboring nation to boost security in the Indo-Pacific region.",14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation
"President Ferdinand Marcos Jr. embarks on his third foreign trip in 2023, for an “official working visit” to Japan.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Philippine President Ferdinand Marcos Jr. said on Wednesday, November 9, that he’s keen on bringing up the country’s position on territorial disputes in the West Philippine Sea during the Association of Southeast Asian Nations (ASEAN) Summit in Cambodia and, more importantly, in a future discussion with Chinese President Xi Jinping.",14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation
Bishop David slams red-tagging of truth guardians,"7. Law and Order, Crime and Justice",13. Political,3. Morality,False
Groups call for more priority on gender issues after Marcos’ first SONA,4. Fairness and Equality,12. Public Opinion,4. Fairness and Equality,4. Fairness and Equality
"MANILA, Philippines – Former police chief Camilo Cascolan’s appointment to the Department of Health (DOH) drew public ire, as critics questioned his qualifications for the position.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"MANILA, Philippines – Jose Maria “Joma” Sison, founding chair of the Communist Party of the Philippines, has died, the CPP announcement on Saturday, December 17. He was 83.",13. Political,13. Political,13. Political,13. Political
"SC to disqualify Bar Exam takers who hid COVID-19 status, smuggled phones","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – At least four senators said that they did not sign a panel report on the anomalies hounding the multibillion-peso pandemic contracts of President Rodrigo Duterte’s government done with Pharmally Pharmaceutical Corporation because of the inclusion of Duterte in the  for charges.",13. Political,13. Political,6. Policy Prescription and Evaluation,13. Political
"WASHINGTON, USA – The United States urged China on Saturday, April 29, to stop harassing Philippine vessels in the South China Sea, pledging to stand with the Philippines after another maritime confrontation between the two Asian countries.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – In order to hasten a typically “long process” Interior Secretary Benhur Abalos said a newly-created  will be tasked to review the courtesy registrations submitted by nearly all of the Philippine National Police (PNP) senior officers.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation
"MANILA, Philippines – The Philippines marked a slight improvement in political rights and civil liberties according to Freedom House’s “Freedom in the World 2023” report.",4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
"MANILA, Philippines – In another important ruling, the Supreme Court (SC) clarified that even mothers can be sued under Republic Act No. 9262 or the Anti-Violence Against Women and Their Children Act of 2004 (VAWC law).",4. Fairness and Equality,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",False
"MANILA, Philippines – The Department of Health said on Monday, June 13, that COVID-19 cases reported on June 6 to 12 were 30.4%  to the previous week.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Rappler Recap: Court acquits Rappler of tax evasion,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Rappler Recap: 4 takeaways from US Secretary of State Blinken’s first PH visit,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Duterte appoints Malacañang official, ex-Napoles lawyer as CA, CTA justices",13. Political,13. Political,13. Political,13. Political
Kamala Harris makes historic trip to Palawan: ‘We are committed to you’,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – The Department of Health (DOH) on Wednesday, January 4, said that eight unvaccinated Filipinos who arrived in the country from China tested positive for COVID-19.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – The Philippine government aims to vaccinate 5 million individuals during the third wave of its nationwide vaccination drive dubbed “Bayanihan Bakunahan” on February 10 and 11.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – The Muntinlupa Regional Trial Court (RTC) rejected government prosecutors’ request to hold in contempt jailed opposition leader Leila de Lima and her lawyer, and said the media statements in question are “mere echoes of the testimonies of the witnesses.”","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – Another appointee of President Ferdinand Marcos Jr. is exiting barely seven months into his administration.",13. Political,13. Political,2. Capacity and Resources,13. Political
Dagupan school among top 3 finalists for World’s Best School Prize,10. Quality of Life,15. Other,10. Quality of Life,10. Quality of Life
"MANILA, Philippines – Lawyer Melvin Matibag, the secretary-general of PDP-Laban, has been appointed acting Cabinet secretary. Matibag took his oath Wednesday morning, March 9.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – House ways and means panel chairman Joey Salceda began  hearing on Wednesday, May 3, with a concern that was not originally on the day’s agenda: the slow disbursement of government funds.",1. Economic,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,False
"Duterte, Romualdez-led Lakas-CMD to dominate House under Marcos",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – In a simple and straightforward inaugural ceremony in her hometown of Davao City on Sunday, June 19, vice president-elect Sara Duterte said “the voice of 32.2 million Filipinos was loud and clear.”",13. Political,13. Political,13. Political,13. Political
"On Friday, February 24, the Philippine Statistics Authority (PSA) released its report on the total number of deaths that occurred in the country in 2021. In the second year of the pandemic, a total of 879,429 deaths were recorded.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – When he spoke for the first time as president, Ferdinand Romualdez Marcos Jr. made a bold promise to the nation: “You will not be disappointed. So do not be afraid.”",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – It took days of refusing to confirm or deny if the President was flying to Singapore to watch the Grand Prix, but in the wee hours of the morning on Monday, October 3, Press Secretary Trixie Cruz-Angeles confirmed what several media outfits and the internet already knew: that Ferdinand Marcos Jr. was in the city-state to watch Formula 1 racing.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The University of the Philippines (UP) said on Thursday, September 29, that it will allow full face-to-face classes in all its undergraduate courses beginning second semester of academic year 2022 to 2023, which is scheduled to start sometime in February 2023.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"With 10 days to go in the campaign, presidential frontrunner Ferdinand “Bongbong” Marcos Jr. has his eyes set on Central Luzon, which has 7.28 million voters or 11% of the total voting population of the country.",13. Political,13. Political,13. Political,13. Political
WATCH: Ano ang pag-uusapan nina Marcos at Biden sa White House?,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Funds for students with special needs slashed in DepEd’s 2023 proposed budget,1. Economic,2. Capacity and Resources,1. Economic,1. Economic
"MANILA, Philippines – A larger-than-usual crowd of applicants filled voter registration sites across the Philippines on the day of the deadline, but the Commission on Elections (Comelec) said registration remained orderly.",13. Political,13. Political,2. Capacity and Resources,13. Political
Supreme Court: 2022 Bar Exams to push through as scheduled in November,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"PH Marines, US Navy kick off weeklong joint marine exercise",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Duterte vetoes SIM card, social media registration bill",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA, Philippines – The Republic of Korea donated 34 refrigerated trucks and four service vans to the Philippines to support the Southeast Asian country’s ongoing coronavirus vaccine drive.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – The Philippines is set to ease its face mask policy as President Ferdinand Marcos Jr. “verbally” approved coronavirus task force’s  to make wearing masks optional when outdoors.",9. Health and Safety,9. Health and Safety,10. Quality of Life,9. Health and Safety
"MANILA, Philippines – Former vice president Leni Robredo said on the day marking former senator Leila de Lima’s 6th year under detention that she stood in solidarity with the former lawmaker, adding that truth will always prevail in the end.",13. Political,13. Political,13. Political,13. Political
SC upholds protection for wife of drug war victim,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
"With Hague ruling, Robredo, Lacson to rally support of int’l community in West PH Sea",13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"US second gentleman visits Caloocan school, announces $5-M vaccine aid",1. Economic,9. Health and Safety,14. External Regulation and Reputation,False
BOSES NG KALYE: Dapat pa bang alalahanin ang EDSA Revolution?,11. Cultural Identity,13. Political,12. Public Opinion,False
"Face disinformation, reach out to its victims, says millennial priest",3. Morality,3. Morality,3. Morality,3. Morality
Rappler Recap: Final tribute for Bulacan rescuers,3. Morality,15. Other,15. Other,15. Other
"Bullying in schools underreported, says chair of Senate education panel",4. Fairness and Equality,4. Fairness and Equality,9. Health and Safety,4. Fairness and Equality
"Metro Manila, 7 other areas ease to Alert Level 2 from February 1",10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
PANOORIN: Mga lugar na puwedeng puntahan para alalahanin ang EDSA Revolution,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity
"MANILA, Philippines – Juanito Jose Remulla III, the eldest son of Department of Justice (DOJ) Secretary Jesus Crispin “Boying” Remulla, was arrested on October 11 for alleged importation of 893.91 grams of high-grade marijuana, with an estimated street value of P1.25 million, and for violating customs law.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Marcos to bring up human rights in talks with EU,4. Fairness and Equality,4. Fairness and Equality,14. External Regulation and Reputation,4. Fairness and Equality
"MANILA, Philippines – The Department of Justice (DOJ) under president-elect Ferdinand “Bongbong” Marcos Jr. will continue the drug war review to reinvestigate cases of killings in legitimate police operations, according to  justice secretary Jesus Crispin “Boying” Remulla who said his department will look into the “red flag” and “pattern” of the anti-drug campaign.","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
"SC: Gov’t, not airlines, responsible for airport staff’s overtime pay",13. Political,5. Constitutionality and Jurisprudence,1. Economic,False
"MANILA, Philippines – President Ferdinand Marcos Jr., in his own words, managed to “put together a government which is functional” and that focused on the economy in his first 100 days.",13. Political,13. Political,13. Political,13. Political
"US to work with incoming PH gov’t on human rights, rule of law",4. Fairness and Equality,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – President Ferdinand Marcos Jr, on Monday, January 23, said his wife, First Lady Liza Araneta-Marcos, has no role in policy-making and is only consulted for “legal” matters.",13. Political,13. Political,13. Political,13. Political
"Blinken to reaffirm MDT, raise human rights in first PH visit",4. Fairness and Equality,4. Fairness and Equality,14. External Regulation and Reputation,4. Fairness and Equality
"MANILA, Philippines – Solicitor General Menardo Guevarra on Friday, January 27, said the Philippines will appeal the International Criminal Court’s (ICC) decision to resume the investigation into drug war killings.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – Outgoing senators – those whose two consecutive terms in office have ended and those who lost their electoral bids – delivered their “graduation” or valedictory speeches on Wednesday, June 1, the final session day of the 18th Congress.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The Commission on Elections (Comelec) is looking into the possibility of allowing vulnerable sectors to vote one or two hours earlier on election day on October 30, when the country selects its new set of barangay and Sangguniang Kabataan leaders.",13. Political,13. Political,13. Political,13. Political
Gov’t urged to fund medical insurance of students in face-to-face classes,9. Health and Safety,2. Capacity and Resources,1. Economic,False
"MANILA, Philippines – The lesbian, gay, bisexual, transgender, and queer  is not asking for any “special rights” with the sought passage of the SOGIE (sexual orientation, gender, identity, and expression) anti-discrimination bill, but only for the correction of the imbalance that has heterosexuals at an advantage, a gender expert said.",4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
"MANILA, Philippines – The Philippines has requested Indonesia to pardon jailed Filipino Mary Jane Veloso, who has been incarcerated since 2010 over drug trafficking charges.",14. External Regulation and Reputation,5. Constitutionality and Jurisprudence,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – For this week’s episode of 36 Years, we speak to human rights lawyer Chel Diokno about the 1986 revolution, why it’s important  it, and how we’re  it when the son of the dictator it ousted is back in Malacañang.",4. Fairness and Equality,11. Cultural Identity,10. Quality of Life,False
"MANILA, Philippines – Over a month after Erwin Tulfo made a quiet exit as Department of Social Welfare and Development (DSWD) secretary of the Ferdinand Marcos Jr. administration, he said that the President was “easy to work with” but was also hands-on on some occasions, providing a rare peek into the opaque administration and how the president works behind the scenes.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The Sandiganbayan, the country’s anti-graft court, barred the Marcos family from retaking their assets that were already declared part of their ill-gotten wealth.","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – President Ferdinand Marcos Jr. on Easter Sunday, April 9, urged Filipinos to take the celebration as a time for renewal and recovery.",10. Quality of Life,3. Morality,3. Morality,3. Morality
"MANILA, Philippines – At least two police generals and eight other officers have been suspended for their possible part in the alleged “massive attempt” to cover up the arrest of the cop allegedly involved in a P6.7 billion shabu bust.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – President Rodrigo Duterte named the judge who issued at least three of the warrants used in the “Bloody Sunday” operations as new Court of Appeals (CA) associate justice.","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – Most Filipinos think the worst is over with the COVID-19 pandemic.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"MANILA, Philippines – Press freedom advocates from the Philippines and around the world celebrated the acquittal of Nobel laureate Maria Ressa, chief executive officer of Rappler, and Rappler Holdings Corporation by the Court of Tax Appeals (CTA) on Wednesday, January 18.  “The National Union of Journalists of the Philippines  the acquittal of Maria Ressa and Rappler Holdings Corporation at the Court of Tax Appeals,” the NUJP said in a statement on Wednesday morning, following news of the acquittal.",4. Fairness and Equality,12. Public Opinion,4. Fairness and Equality,4. Fairness and Equality
Rappler Talk: Why did over 31M vaccine doses go to waste?,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Deltacron may not cause severe infection, but may have similar transmission rate – expert",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"MANILA, Philippines – The National Bureau of Investigation (NBI) on Wednesday, February 9, perp walked or presented to the media, a man whom it was considering to be a person of interest in the supposed threat on TikTok to kill presidential front runner Ferdinand “Bongbong” Marcos Jr.","7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense,8. Security and Defense
Luli Arroyo is Marcos’ pick for Philippine ambassador to Austria,14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
"MANILA, Philippines – The Maritime Industry Authority (MARINA) moved to stop the operations of RDC Reield Marine Services,  that owns MT Princess Empress – the sunken vessel responsible for the oil spill that first impacted Oriental Mindoro.",9. Health and Safety,"7. Law and Order, Crime and Justice",8. Security and Defense,False
Groups oppose Marcos Jr.’s decision to appoint Sara Duterte as DepEd chief,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
DOJ chief Remulla wants to relocate Bilibid to Occidental Mindoro,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation
